batter,Active Ratio_death,Striking Ratio_death,True SR_death,True Avg_death,Active Ratio_middle,Striking Ratio_middle,True SR_middle,True Avg_middle,Active Ratio_powerplay,Striking Ratio_powerplay,True SR_powerplay,True Avg_powerplay
SB Styris,0.740740741,0.119047619,0.526110546,0.443979721,0.725839793,0.141025642,0.491832532,0.32491432,0.666666667,0,0.229121737,0.264784275
SC Ganguly,0.717171717,0.1875,0.640579625,0.435071245,0.704599318,0.178672317,0.542341906,0.386253666,0.463220676,0.142021721,0.370450697,0.427219268
SD Chitnis,0.694444444,0.05,0.499851836,0.439069709,0.739534883,0.314285715,0.520458172,0.608404113,0.166666667,0,0.265046559,0.348325837
SE Marsh,0.759493671,0.131578948,0.579415131,0.460854937,0.908816602,0.376440922,0.665761016,0.612858709,0.495798319,0.146832445,0.351797755,0.476936532
SE Rutherford,0.585365854,0.145161291,0.543547994,0.436886354,0.667635659,0.062499999,0.472154196,0.405616288,0.272727273,0,0.193814135,0.314342829
SK Raina,0.79766537,0.161290323,0.606685315,0.521673308,0.892615825,0.262990603,0.60256726,0.369093525,0.532693984,0.201849618,0.428587562,0.462888831
SM Curran,0.728070175,0.228571429,0.651232586,0.518079848,0.668506109,0.134803922,0.486806475,0.267173298,0.461538462,0.192982456,0.438351929,0.430451441
SM Katich,0.923076923,0.055555556,0.6207708,0.323193916,0.767823103,0.269021739,0.572677294,0.213902548,0.528846154,0.219178082,0.455839826,0.430249161
SM Pollock,0.707317073,0.25,0.73261053,0.478865653,0.775318829,0.175,0.51541072,0.538326014,0.166666667,0,0.118192732,0.256571714
SN Khan,0.774834437,0.19072165,0.612686443,0.499877024,0.788837209,0.207191782,0.528631411,0.263895098,0.576923077,0.216216216,0.398954673,0.394769282
SO Hetmyer,0.73880597,0.197674419,0.646596569,0.512690114,0.789067594,0.253720239,0.651248118,0.509685591,0.490196078,0.124031008,0.382207836,0.484644042
SP Goswami,0.714285714,0.0625,0.546062586,0.416489227,0.755813953,0.166208791,0.535685103,0.303636698,0.5,0.111959287,0.354394251,0.352023063
SP Jackson,0.8,0.041666667,0.537395103,0.466168749,0.61627907,0.171875,0.365139292,0.155230219,0.444444444,0.190476191,0.369747899,0.351157754
SP Narine,0.577777778,0.090277778,0.541129658,0.44536832,0.763012181,0.5225,0.789880786,0.288338985,0.542234332,0.357864358,0.500362308,0.312675941
SPD Smith,0.768115942,0.153169014,0.622008134,0.52157371,0.883656391,0.187718787,0.569550508,0.427082151,0.574209246,0.160337553,0.383896635,0.539171833
SR Tendulkar,0.733333333,0.188888889,0.590477028,0.501972637,0.863556261,0.226319875,0.586514922,0.355773622,0.529905561,0.173464604,0.395180384,0.459233524
SR Watson,0.759493671,0.212837838,0.63609805,0.457663663,0.833171083,0.403118337,0.690556282,0.411475893,0.472154964,0.155006859,0.382057972,0.444416133
SS Iyer,0.751091703,0.148734177,0.604690034,0.456900002,0.881729248,0.234720758,0.581590595,0.387137579,0.51372549,0.140409066,0.366080963,0.482409906
SS Tiwary,0.758169935,0.114349776,0.547044529,0.489560747,0.805401746,0.190350163,0.582590917,0.491621365,0.512658228,0.133333333,0.369987235,0.677823251
STR Binny,0.734375,0.125698324,0.589622576,0.5002391,0.744604532,0.242109634,0.602611659,0.349585484,0.32,0.095238095,0.317601048,0.432433783
SV Samson,0.769230769,0.214634147,0.648639509,0.468181266,0.881664521,0.254677269,0.625544484,0.428231898,0.519138756,0.157046282,0.37182816,0.432325483
SW Billings,0.720588235,0.162790698,0.585895803,0.411762108,0.81196958,0.204613096,0.545735795,0.293020643,0.604166667,0.190476191,0.399152614,0.435021126
Sachin Baby,0.689655172,0.171052632,0.557820884,0.450316857,0.720930232,0.09375,0.527830976,0.399642378,0,0,0.131357806,0.329635182
Salman Butt,0.666666667,1,0.900528497,0.46539924,0.890180878,0.309375,0.668135225,0.328565042,0.442105263,0.171171171,0.399144921,0.422010149
Shahbaz Ahmed,0.638888889,0.115384616,0.563030178,0.439624525,0.798558794,0.194690265,0.579774066,0.52401007,0.538461538,0.060606061,0.401422107,0.368715642
Shahid Afridi,0.6,0.333333334,0.763691532,0.453764259,0.547803617,0.171875,0.522789469,0.22261958,0.705882353,0.518518519,0.716106876,0.336998168
Shakib Al Hasan,0.746724891,0.109195403,0.579476404,0.470805392,0.806827751,0.238074205,0.555094739,0.377890685,0.472222222,0.133333333,0.346879735,0.426748164
Shoaib Malik,0.714285714,0.083333334,0.467564164,0.389987326,0.900715563,0.065476191,0.433384937,0.257487707,0.666666667,0.222222222,0.448474126,0.39930035
Shubman Gill,0.716981132,0.094262295,0.495616701,0.444908745,0.897666941,0.229645094,0.589838427,0.481143171,0.582295989,0.155121373,0.373929416,0.427990172
Sohail Tanvir,0.9,0,0.487967369,0.45965357,0.61627907,0.34375,0.532246548,0.306660706,0.625,0.222222222,0.516806723,0.373813093
Sunny Singh,0.5,0.071428572,0.463970088,0.44519962,0.88039867,0.375000001,0.747362587,0.228430934,0.625,0.5,0.646890756,0.439891166
TL Suman,0.721153846,0.1,0.560691145,0.525082383,0.78795681,0.236627907,0.622723286,0.549173,0.438202247,0.133333333,0.375366419,0.316967532
TM Dilshan,0.788990826,0.173611111,0.540127214,0.492855332,0.750868751,0.200842697,0.523029557,0.303004349,0.466042155,0.171253823,0.354866552,0.357370358
TM Head,0.818181818,0.166666667,0.561456126,0.61730038,0.949402891,0.189655172,0.549275298,0.533441078,0.294117647,0.047619047,0.200197726,0.254872564
Tilak Varma,0.762711864,0.158536586,0.558934287,0.517441747,0.886267995,0.25,0.627877389,0.777061115,0.481481481,0.053333333,0.257591036,0.403265034
UBT Chand,0.777777778,0.208333334,0.46138933,0.408660752,0.754251996,0.220518867,0.543561443,0.240208383,0.342857143,0.107344633,0.317256783,0.302125128
V Kohli,0.774193548,0.203571429,0.619971792,0.476823063,0.877333452,0.209587378,0.561507566,0.50154446,0.556048835,0.14958184,0.374179067,0.444743354
V Sehwag,0.727272727,0.325,0.710577017,0.472093971,0.943031059,0.508004926,0.796994811,0.439737285,0.574387947,0.251141553,0.45145604,0.385213845
V Shankar,0.752380952,0.127586207,0.614496164,0.511768061,0.83495874,0.177941177,0.559957305,0.505863946,0.441176471,0.043715847,0.222126024,0.299922407
VR Iyer,0.75,0,0.386131883,0.438466413,0.834231423,0.262404581,0.528817543,0.336218458,0.516014235,0.156494523,0.359597065,0.334691046
VVS Laxman,0.6,0,0.362338545,0.418536122,0.945524052,0.233050847,0.50374105,0.061633885,0.483516484,0.120805369,0.282004204,0.31193999
WD Parnell,0.615384615,0.033333334,0.483306933,0.418482256,0.61627907,0,0.346838266,0.218372821,0.416666667,0.133333333,0.410174881,0.390804598
WP Saha,0.773255814,0.139737992,0.608242888,0.503012952,0.844302325,0.165839695,0.535688195,0.373969379,0.539325843,0.210594315,0.411171792,0.402759335
Washington Sundar,0.691176471,0.139784946,0.599323015,0.448666795,0.775113881,0.13253012,0.518694472,0.426400153,0.434782609,0.035087719,0.158089992,0.282483758
Y Nagar,0.661157025,0.13372093,0.589846212,0.454638636,0.749395349,0.074324324,0.413666002,0.456242908,0.666666667,0,0.297751533,0.3015992
Y Venugopal Rao,0.744855967,0.139534884,0.603191424,0.481733867,0.745749463,0.195431473,0.56106613,0.513463534,0.419354839,0.076923077,0.355430907,0.496085291
YK Pathan,0.730205279,0.158510639,0.613025129,0.51258732,0.795323342,0.29805726,0.634624366,0.445213582,0.548523207,0.254545455,0.480618902,0.491254373
YV Takawale,0.9,0.833333334,0.910425081,0.555893536,0.954238559,0.239130434,0.637990696,0.159780318,0.376923077,0.129449838,0.356178515,0.448670109
Yashpal Singh,0.615384615,0.15,0.504699244,0.463244613,0.79753762,0,0.527113299,0.286544479,0.257142857,0.041666667,0.265786314,0.433283358
Yuvraj Singh,0.688659794,0.201257862,0.638627612,0.463552417,0.70221094,0.248464912,0.554529842,0.394259295,0.445652174,0.142528735,0.369621563,0.393753215
Z Khan,0.542857143,0.076470588,0.484160816,0.449347275,0.382518044,0,0.31036485,0.288779616,0,0,0.149216443,0.303015159
A Chandila,0,0,0,0,0,0,0,0,0,0,0,0
A Choudhary,0,0,0,0,0,0,0,0,0,0,0,0
A Kumble,0,0,0,0,0,0,0,0,0,0,0,0
A Mithun,0,0,0,0,0,0,0,0,0,0,0,0
A Nehra,0,0,0,0,0,0,0,0,0,0,0,0
A Nel,0,0,0,0,0,0,0,0,0,0,0,0
A Nortje,0,0,0,0,0,0,0,0,0,0,0,0
A Singh,0,0,0,0,0,0,0,0,0,0,0,0
A Uniyal,0,0,0,0,0,0,0,0,0,0,0,0
A Zampa,0,0,0,0,0,0,0,0,0,0,0,0
AA Chavan,0,0,0,0,0,0,0,0,0,0,0,0
AA Noffke,0,0,0,0,0,0,0,0,0,0,0,0
AB Dinda,0,0,0,0,0,0,0,0,0,0,0,0
AC Thomas,0,0,0,0,0,0,0,0,0,0,0,0
AF Milne,0,0,0,0,0,0,0,0,0,0,0,0
AG Murtaza,0,0,0,0,0,0,0,0,0,0,0,0
AJ Tye,0,0,0,0,0,0,0,0,0,0,0,0
AM Salvi,0,0,0,0,0,0,0,0,0,0,0,0
AN Ahmed,0,0,0,0,0,0,0,0,0,0,0,0
AP Dole,0,0,0,0,0,0,0,0,0,0,0,0
AS Joseph,0,0,0,0,0,0,0,0,0,0,0,0
AS Rajpoot,0,0,0,0,0,0,0,0,0,0,0,0
Akash Deep,0,0,0,0,0,0,0,0,0,0,0,0
Akash Singh,0,0,0,0,0,0,0,0,0,0,0,0
Anand Rajan,0,0,0,0,0,0,0,0,0,0,0,0
Ankit Soni,0,0,0,0,0,0,0,0,0,0,0,0
Anureet Singh,0,0,0,0,0,0,0,0,0,0,0,0
Arshdeep Singh,0,0,0,0,0,0,0,0,0,0,0,0
Avesh Khan,0,0,0,0,0,0,0,0,0,0,0,0
B Akhil,0,0,0,0,0,0,0,0,0,0,0,0
B Geeves,0,0,0,0,0,0,0,0,0,0,0,0
B Kumar,0,0,0,0,0,0,0,0,0,0,0,0
B Laughlin,0,0,0,0,0,0,0,0,0,0,0,0
B Lee,0,0,0,0,0,0,0,0,0,0,0,0
B Stanlake,0,0,0,0,0,0,0,0,0,0,0,0
BA Bhatt,0,0,0,0,0,0,0,0,0,0,0,0
BAW Mendis,0,0,0,0,0,0,0,0,0,0,0,0
BB Sran,0,0,0,0,0,0,0,0,0,0,0,0
BCJ Cutting,0,0,0,0,0,0,0,0,0,0,0,0
BE Hendricks,0,0,0,0,0,0,0,0,0,0,0,0
BW Hilfenhaus,0,0,0,0,0,0,0,0,0,0,0,0
Basil Thampi,0,0,0,0,0,0,0,0,0,0,0,0
Bipul Sharma,0,0,0,0,0,0,0,0,0,0,0,0
C Sakariya,0,0,0,0,0,0,0,0,0,0,0,0
CJ Jordan,0,0,0,0,0,0,0,0,0,0,0,0
CJ McKay,0,0,0,0,0,0,0,0,0,0,0,0
CK Langeveldt,0,0,0,0,0,0,0,0,0,0,0,0
CR Brathwaite,0,0,0,0,0,0,0,0,0,0,0,0
CR Woakes,0,0,0,0,0,0,0,0,0,0,0,0
CRD Fernando,0,0,0,0,0,0,0,0,0,0,0,0
CV Varun,0,0,0,0,0,0,0,0,0,0,0,0
D Wiese,0,0,0,0,0,0,0,0,0,0,0,0
D du Preez,0,0,0,0,0,0,0,0,0,0,0,0
DAJ Bracewell,0,0,0,0,0,0,0,0,0,0,0,0
DE Bollinger,0,0,0,0,0,0,0,0,0,0,0,0
DJ Muthuswami,0,0,0,0,0,0,0,0,0,0,0,0
DJ Willey,0,0,0,0,0,0,0,0,0,0,0,0
DL Chahar,0,0,0,0,0,0,0,0,0,0,0,0
DL Vettori,0,0,0,0,0,0,0,0,0,0,0,0
DNT Zoysa,0,0,0,0,0,0,0,0,0,0,0,0
DP Nannes,0,0,0,0,0,0,0,0,0,0,0,0
DP Vijaykumar,0,0,0,0,0,0,0,0,0,0,0,0
DS Kulkarni,0,0,0,0,0,0,0,0,0,0,0,0
DW Steyn,0,0,0,0,0,0,0,0,0,0,0,0
FH Edwards,0,0,0,0,0,0,0,0,0,0,0,0
Fazalhaq Farooqi,0,0,0,0,0,0,0,0,0,0,0,0
GB Hogg,0,0,0,0,0,0,0,0,0,0,0,0
GC Viljoen,0,0,0,0,0,0,0,0,0,0,0,0
GD McGrath,0,0,0,0,0,0,0,0,0,0,0,0
GHS Garton,0,0,0,0,0,0,0,0,0,0,0,0
GS Sandhu,0,0,0,0,0,0,0,0,0,0,0,0
Gagandeep Singh,0,0,0,0,0,0,0,0,0,0,0,0
HF Gurney,0,0,0,0,0,0,0,0,0,0,0,0
HR Shokeen,0,0,0,0,0,0,0,0,0,0,0,0
HV Patel,0,0,0,0,0,0,0,0,0,0,0,0
Harmeet Singh,0,0,0,0,0,0,0,0,0,0,0,0
Harpreet Brar,0,0,0,0,0,0,0,0,0,0,0,0
I Sharma,0,0,0,0,0,0,0,0,0,0,0,0
I Udana,0,0,0,0,0,0,0,0,0,0,0,0
IC Pandey,0,0,0,0,0,0,0,0,0,0,0,0
IS Sodhi,0,0,0,0,0,0,0,0,0,0,0,0
Imran Tahir,0,0,0,0,0,0,0,0,0,0,0,0
Iqbal Abdulla,0,0,0,0,0,0,0,0,0,0,0,0
J Suchith,0,0,0,0,0,0,0,0,0,0,0,0
J Syed Mohammad,0,0,0,0,0,0,0,0,0,0,0,0
J Theron,0,0,0,0,0,0,0,0,0,0,0,0
J Yadav,0,0,0,0,0,0,0,0,0,0,0,0
JA Richardson,0,0,0,0,0,0,0,0,0,0,0,0
JD Unadkat,0,0,0,0,0,0,0,0,0,0,0,0
JDP Oram,0,0,0,0,0,0,0,0,0,0,0,0
JDS Neesham,0,0,0,0,0,0,0,0,0,0,0,0
JE Taylor,0,0,0,0,0,0,0,0,0,0,0,0
JJ Bumrah,0,0,0,0,0,0,0,0,0,0,0,0
JJ van der Wath,0,0,0,0,0,0,0,0,0,0,0,0
JL Pattinson,0,0,0,0,0,0,0,0,0,0,0,0
JP Behrendorff,0,0,0,0,0,0,0,0,0,0,0,0
JPR Scantlebury-Searles,0,0,0,0,0,0,0,0,0,0,0,0
JR Hazlewood,0,0,0,0,0,0,0,0,0,0,0,0
JW Hastings,0,0,0,0,0,0,0,0,0,0,0,0
Jaskaran Singh,0,0,0,0,0,0,0,0,0,0,0,0
Joginder Sharma,0,0,0,0,0,0,0,0,0,0,0,0
K Khejroliya,0,0,0,0,0,0,0,0,0,0,0,0
K Santokie,0,0,0,0,0,0,0,0,0,0,0,0
KA Jamieson,0,0,0,0,0,0,0,0,0,0,0,0
KAJ Roach,0,0,0,0,0,0,0,0,0,0,0,0
KC Cariappa,0,0,0,0,0,0,0,0,0,0,0,0
KJ Abbott,0,0,0,0,0,0,0,0,0,0,0,0
KK Ahmed,0,0,0,0,0,0,0,0,0,0,0,0
KL Nagarkoti,0,0,0,0,0,0,0,0,0,0,0,0
KM Asif,0,0,0,0,0,0,0,0,0,0,0,0
KMA Paul,0,0,0,0,0,0,0,0,0,0,0,0
KMDN Kulasekara,0,0,0,0,0,0,0,0,0,0,0,0
KP Appanna,0,0,0,0,0,0,0,0,0,0,0,0
KR Sen,0,0,0,0,0,0,0,0,0,0,0,0
KW Richardson,0,0,0,0,0,0,0,0,0,0,0,0
Kamran Khan,0,0,0,0,0,0,0,0,0,0,0,0
Karanveer Singh,0,0,0,0,0,0,0,0,0,0,0,0
Kartik Tyagi,0,0,0,0,0,0,0,0,0,0,0,0
Kuldeep Yadav,0,0,0,0,0,0,0,0,0,0,0,0
L Ablish,0,0,0,0,0,0,0,0,0,0,0,0
L Balaji,0,0,0,0,0,0,0,0,0,0,0,0
L Ngidi,0,0,0,0,0,0,0,0,0,0,0,0
LE Plunkett,0,0,0,0,0,0,0,0,0,0,0,0
LH Ferguson,0,0,0,0,0,0,0,0,0,0,0,0
M Ashwin,0,0,0,0,0,0,0,0,0,0,0,0
M Jansen,0,0,0,0,0,0,0,0,0,0,0,0
M Kartik,0,0,0,0,0,0,0,0,0,0,0,0
M Morkel,0,0,0,0,0,0,0,0,0,0,0,0
M Muralitharan,0,0,0,0,0,0,0,0,0,0,0,0
M Ntini,0,0,0,0,0,0,0,0,0,0,0,0
M Prasidh Krishna,0,0,0,0,0,0,0,0,0,0,0,0
M Theekshana,0,0,0,0,0,0,0,0,0,0,0,0
M de Lange,0,0,0,0,0,0,0,0,0,0,0,0
MA Starc,0,0,0,0,0,0,0,0,0,0,0,0
MF Maharoof,0,0,0,0,0,0,0,0,0,0,0,0
MG Johnson,0,0,0,0,0,0,0,0,0,0,0,0
MG Neser,0,0,0,0,0,0,0,0,0,0,0,0
MM Patel,0,0,0,0,0,0,0,0,0,0,0,0
MM Sharma,0,0,0,0,0,0,0,0,0,0,0,0
MS Gony,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Asif,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Shami,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Siraj,0,0,0,0,0,0,0,0,0,0,0,0
Mohsin Khan,0,0,0,0,0,0,0,0,0,0,0,0
Mujeeb Ur Rahman,0,0,0,0,0,0,0,0,0,0,0,0
Mukesh Choudhary,0,0,0,0,0,0,0,0,0,0,0,0
Mustafizur Rahman,0,0,0,0,0,0,0,0,0,0,0,0
ND Doshi,0,0,0,0,0,0,0,0,0,0,0,0
NM Coulter-Nile,0,0,0,0,0,0,0,0,0,0,0,0
NT Ellis,0,0,0,0,0,0,0,0,0,0,0,0
Navdeep Saini,0,0,0,0,0,0,0,0,0,0,0,0
O Thomas,0,0,0,0,0,0,0,0,0,0,0,0
OC McCoy,0,0,0,0,0,0,0,0,0,0,0,0
OF Smith,0,0,0,0,0,0,0,0,0,0,0,0
P Amarnath,0,0,0,0,0,0,0,0,0,0,0,0
P Awana,0,0,0,0,0,0,0,0,0,0,0,0
P Parameswaran,0,0,0,0,0,0,0,0,0,0,0,0
P Sahu,0,0,0,0,0,0,0,0,0,0,0,0
P Suyal,0,0,0,0,0,0,0,0,0,0,0,0
PJ Sangwan,0,0,0,0,0,0,0,0,0,0,0,0
PP Ojha,0,0,0,0,0,0,0,0,0,0,0,0
PV Tambe,0,0,0,0,0,0,0,0,0,0,0,0
PVD Chameera,0,0,0,0,0,0,0,0,0,0,0,0
PWH de Silva,0,0,0,0,0,0,0,0,0,0,0,0
Pankaj Singh,0,0,0,0,0,0,0,0,0,0,0,0
R Bhatia,0,0,0,0,0,0,0,0,0,0,0,0
R Dhawan,0,0,0,0,0,0,0,0,0,0,0,0
R Rampaul,0,0,0,0,0,0,0,0,0,0,0,0
R Sharma,0,0,0,0,0,0,0,0,0,0,0,0
R Shepherd,0,0,0,0,0,0,0,0,0,0,0,0
R Shukla,0,0,0,0,0,0,0,0,0,0,0,0
R Vinay Kumar,0,0,0,0,0,0,0,0,0,0,0,0
RD Chahar,0,0,0,0,0,0,0,0,0,0,0,0
RG More,0,0,0,0,0,0,0,0,0,0,0,0
RJ Harris,0,0,0,0,0,0,0,0,0,0,0,0
RJ Peterson,0,0,0,0,0,0,0,0,0,0,0,0
RP Meredith,0,0,0,0,0,0,0,0,0,0,0,0
RP Singh,0,0,0,0,0,0,0,0,0,0,0,0
RR Powar,0,0,0,0,0,0,0,0,0,0,0,0
RR Raje,0,0,0,0,0,0,0,0,0,0,0,0
Rashid Khan,0,0,0,0,0,0,0,0,0,0,0,0
Rasikh Salam,0,0,0,0,0,0,0,0,0,0,0,0
Ravi Bishnoi,0,0,0,0,0,0,0,0,0,0,0,0
S Aravind,0,0,0,0,0,0,0,0,0,0,0,0
S Badree,0,0,0,0,0,0,0,0,0,0,0,0
S Kaul,0,0,0,0,0,0,0,0,0,0,0,0
S Kaushik,0,0,0,0,0,0,0,0,0,0,0,0
S Ladda,0,0,0,0,0,0,0,0,0,0,0,0
S Lamichhane,0,0,0,0,0,0,0,0,0,0,0,0
S Nadeem,0,0,0,0,0,0,0,0,0,0,0,0
S Narwal,0,0,0,0,0,0,0,0,0,0,0,0
S Randiv,0,0,0,0,0,0,0,0,0,0,0,0
S Sreesanth,0,0,0,0,0,0,0,0,0,0,0,0
S Tyagi,0,0,0,0,0,0,0,0,0,0,0,0
SA Abbott,0,0,0,0,0,0,0,0,0,0,0,0
SB Bangar,0,0,0,0,0,0,0,0,0,0,0,0
SB Jakati,0,0,0,0,0,0,0,0,0,0,0,0
SC Kuggeleijn,0,0,0,0,0,0,0,0,0,0,0,0
SE Bond,0,0,0,0,0,0,0,0,0,0,0,0
SJ Srivastava,0,0,0,0,0,0,0,0,0,0,0,0
SK Trivedi,0,0,0,0,0,0,0,0,0,0,0,0
SK Warne,0,0,0,0,0,0,0,0,0,0,0,0
SL Malinga,0,0,0,0,0,0,0,0,0,0,0,0
SM Boland,0,0,0,0,0,0,0,0,0,0,0,0
SM Harwood,0,0,0,0,0,0,0,0,0,0,0,0
SMSM Senanayake,0,0,0,0,0,0,0,0,0,0,0,0
SN Thakur,0,0,0,0,0,0,0,0,0,0,0,0
SS Cottrell,0,0,0,0,0,0,0,0,0,0,0,0
SS Sarkar,0,0,0,0,0,0,0,0,0,0,0,0
ST Jayasuriya,0,0,0,0,0,0,0,0,0,0,0,0
SW Tait,0,0,0,0,0,0,0,0,0,0,0,0
Sandeep Sharma,0,0,0,0,0,0,0,0,0,0,0,0
Shivam Mavi,0,0,0,0,0,0,0,0,0,0,0,0
Shoaib Ahmed,0,0,0,0,0,0,0,0,0,0,0,0
Simarjeet Singh,0,0,0,0,0,0,0,0,0,0,0,0
T Natarajan,0,0,0,0,0,0,0,0,0,0,0,0
T Thushara,0,0,0,0,0,0,0,0,0,0,0,0
TA Boult,0,0,0,0,0,0,0,0,0,0,0,0
TG Southee,0,0,0,0,0,0,0,0,0,0,0,0
TK Curran,0,0,0,0,0,0,0,0,0,0,0,0
TP Sudhindra,0,0,0,0,0,0,0,0,0,0,0,0
TS Mills,0,0,0,0,0,0,0,0,0,0,0,0
TU Deshpande,0,0,0,0,0,0,0,0,0,0,0,0
Tejas Baroka,0,0,0,0,0,0,0,0,0,0,0,0
UT Yadav,0,0,0,0,0,0,0,0,0,0,0,0
Umar Gul,0,0,0,0,0,0,0,0,0,0,0,0
Umran Malik,0,0,0,0,0,0,0,0,0,0,0,0
V Pratap Singh,0,0,0,0,0,0,0,0,0,0,0,0
VG Arora,0,0,0,0,0,0,0,0,0,0,0,0
VR Aaron,0,0,0,0,0,0,0,0,0,0,0,0
VRV Singh,0,0,0,0,0,0,0,0,0,0,0,0
VS Malik,0,0,0,0,0,0,0,0,0,0,0,0
VS Yeligati,0,0,0,0,0,0,0,0,0,0,0,0
VY Mahesh,0,0,0,0,0,0,0,0,0,0,0,0
WPUJC Vaas,0,0,0,0,0,0,0,0,0,0,0,0
YA Abdulla,0,0,0,0,0,0,0,0,0,0,0,0
YS Chahal,0,0,0,0,0,0,0,0,0,0,0,0
Yash Dayal,0,0,0,0,0,0,0,0,0,0,0,0
