balls_faced,matches_played,runs,4s,6s,1s,2s,bat_strike,explosivity_rating
196,23,280,16.0,15.0,83.0,20.0,142.86,0.16
7,2,4,0.0,0.0,4.0,0.0,57.14,0.0
75,6,53,7.0,0.0,21.0,2.0,70.67,0.09
20,3,25,1.0,1.0,13.0,1.0,125.0,0.1
5,1,4,0.0,0.0,2.0,1.0,80.0,0.0
57,3,62,5.0,2.0,23.0,2.0,108.77,0.12
49,15,35,3.0,0.0,21.0,1.0,71.43,0.06
410,54,362,29.0,5.0,171.0,22.0,88.29,0.08
26,6,34,4.0,1.0,8.0,2.0,130.77,0.19
23,2,19,1.0,0.0,11.0,2.0,82.61,0.04
63,17,41,3.0,1.0,19.0,1.0,65.08,0.06
10,5,2,0.0,0.0,2.0,0.0,20.0,0.0
781,36,974,74.0,41.0,287.0,66.0,124.71,0.15
7,2,4,0.0,0.0,4.0,0.0,57.14,0.0
8,2,5,1.0,0.0,1.0,0.0,62.5,0.12
88,7,69,5.0,0.0,31.0,9.0,78.41,0.06
11,3,12,2.0,0.0,4.0,0.0,109.09,0.18
218,15,217,19.0,5.0,82.0,13.0,99.54,0.11
12,1,9,1.0,0.0,5.0,0.0,75.0,0.08
160,18,179,13.0,5.0,65.0,15.0,111.87,0.11
43,3,42,5.0,1.0,14.0,1.0,97.67,0.14
50,16,26,2.0,0.0,16.0,1.0,52.0,0.04
103,9,123,9.0,4.0,42.0,9.0,119.42,0.13
2959,139,4395,355.0,214.0,1202.0,220.0,148.53,0.19
91,7,120,21.0,2.0,17.0,2.0,131.87,0.25
1555,80,2069,239.0,92.0,414.0,66.0,133.05,0.21
19,4,20,1.0,1.0,8.0,1.0,105.26,0.11
143,7,181,15.0,3.0,61.0,18.0,126.57,0.13
119,6,148,13.0,6.0,43.0,8.0,124.37,0.16
79,11,79,5.0,1.0,35.0,9.0,100.0,0.08
599,41,724,44.0,29.0,265.0,49.0,120.87,0.12
99,10,90,7.0,2.0,40.0,5.0,90.91,0.09
785,50,1375,94.0,118.0,229.0,31.0,175.16,0.27
12,3,7,0.0,0.0,5.0,1.0,58.33,0.0
14,3,10,1.0,0.0,6.0,0.0,71.43,0.07
61,5,49,9.0,0.0,8.0,2.0,80.33,0.15
1364,72,1734,176.0,67.0,450.0,83.0,127.13,0.18
11,4,3,0.0,0.0,3.0,0.0,27.27,0.0
72,12,85,6.0,4.0,22.0,6.0,118.06,0.14
367,23,401,24.0,18.0,149.0,24.0,109.26,0.11
588,50,672,55.0,20.0,228.0,46.0,114.29,0.13
3125,128,3731,394.0,73.0,1253.0,210.0,119.39,0.15
27,6,36,4.0,1.0,8.0,3.0,133.33,0.19
8,2,7,1.0,0.0,1.0,1.0,87.5,0.12
23,2,34,3.0,1.0,8.0,4.0,147.83,0.17
77,4,87,7.0,2.0,33.0,7.0,112.99,0.12
271,26,331,39.0,11.0,70.0,18.0,122.14,0.18
12,1,12,1.0,0.0,6.0,1.0,100.0,0.08
643,61,783,46.0,34.0,301.0,46.0,121.77,0.12
13,1,15,2.0,0.0,3.0,2.0,115.38,0.15
31,5,17,2.0,0.0,7.0,1.0,54.84,0.06
172,16,194,13.0,7.0,73.0,9.0,112.79,0.12
40,6,49,5.0,2.0,13.0,2.0,122.5,0.18
2681,138,3300,278.0,120.0,1152.0,154.0,123.09,0.15
26,7,39,5.0,2.0,3.0,2.0,150.0,0.27
2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
45,6,72,4.0,5.0,20.0,3.0,160.0,0.2
69,4,63,6.0,1.0,23.0,5.0,91.3,0.1
69,10,87,7.0,4.0,23.0,6.0,126.09,0.16
9,3,7,0.0,1.0,1.0,0.0,77.78,0.11
47,8,36,2.0,1.0,22.0,0.0,76.6,0.06
3,1,4,1.0,0.0,0.0,0.0,133.33,0.33
311,21,388,39.0,13.0,116.0,19.0,124.76,0.17
57,11,76,5.0,5.0,16.0,5.0,133.33,0.18
256,21,280,28.0,7.0,100.0,7.0,109.38,0.14
188,40,162,14.0,2.0,68.0,13.0,86.17,0.09
13,4,5,0.0,0.0,5.0,0.0,38.46,0.0
102,19,124,8.0,8.0,36.0,4.0,121.57,0.16
2,1,5,1.0,0.0,1.0,0.0,250.0,0.5
38,4,35,3.0,0.0,17.0,3.0,92.11,0.08
7,2,6,0.0,1.0,0.0,0.0,85.71,0.14
478,30,618,42.0,24.0,215.0,42.0,129.29,0.14
6,3,3,0.0,0.0,3.0,0.0,50.0,0.0
2222,107,2814,288.0,125.0,698.0,102.0,126.64,0.19
116,8,125,13.0,2.0,45.0,8.0,107.76,0.13
14,7,10,0.0,0.0,7.0,1.0,71.43,0.0
146,17,238,15.0,19.0,44.0,10.0,163.01,0.23
3,2,1,0.0,0.0,1.0,0.0,33.33,0.0
11,1,18,2.0,1.0,2.0,1.0,163.64,0.27
1125,61,1371,120.0,43.0,440.0,87.0,121.87,0.14
146,8,193,21.0,5.0,48.0,14.0,132.19,0.18
27,3,23,0.0,0.0,15.0,4.0,85.19,0.0
36,3,40,7.0,0.0,6.0,3.0,111.11,0.19
37,7,32,1.0,1.0,16.0,3.0,86.49,0.05
116,15,180,11.0,9.0,48.0,17.0,155.17,0.17
21,1,15,3.0,0.0,2.0,0.0,71.43,0.14
143,10,177,19.0,8.0,45.0,4.0,123.78,0.19
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
229,21,303,18.0,18.0,91.0,16.0,132.31,0.16
183,15,205,22.0,5.0,69.0,9.0,112.02,0.15
895,39,1200,122.0,58.0,286.0,38.0,134.08,0.2
403,22,390,50.0,4.0,133.0,15.0,96.77,0.13
3005,119,4257,350.0,304.0,861.0,76.0,141.66,0.22
310,35,462,31.0,24.0,127.0,32.0,149.03,0.18
436,29,538,40.0,31.0,139.0,25.0,123.39,0.16
119,8,98,9.0,0.0,42.0,10.0,82.35,0.08
4,1,3,0.0,0.0,1.0,1.0,75.0,0.0
15,1,8,0.0,0.0,6.0,1.0,53.33,0.0
24,3,16,0.0,0.0,12.0,2.0,66.67,0.0
9,2,8,0.0,1.0,2.0,0.0,88.89,0.11
774,45,971,76.0,38.0,334.0,49.0,125.45,0.15
158,13,169,17.0,6.0,40.0,8.0,106.96,0.15
120,14,181,10.0,16.0,36.0,4.0,150.83,0.22
66,11,63,5.0,2.0,25.0,3.0,95.45,0.11
3,2,4,0.0,0.0,2.0,1.0,133.33,0.0
8,1,3,0.0,0.0,3.0,0.0,37.5,0.0
24,3,33,5.0,0.0,9.0,2.0,137.5,0.21
94,8,127,12.0,4.0,42.0,6.0,135.11,0.17
13,1,10,0.0,0.0,6.0,2.0,76.92,0.0
1367,76,1847,126.0,87.0,565.0,126.0,135.11,0.16
3261,121,4514,441.0,174.0,1136.0,256.0,138.42,0.19
9,1,12,1.0,0.0,6.0,1.0,133.33,0.11
235,21,277,22.0,14.0,81.0,12.0,117.87,0.15
325,25,375,35.0,9.0,134.0,18.0,115.38,0.14
23,4,21,1.0,1.0,9.0,1.0,91.3,0.09
142,17,170,23.0,2.0,42.0,11.0,119.72,0.18
1193,99,1483,116.0,61.0,428.0,103.0,124.31,0.15
103,4,111,11.0,5.0,33.0,2.0,107.77,0.16
422,44,523,27.0,24.0,186.0,40.0,123.93,0.12
1100,60,1322,90.0,60.0,450.0,72.0,120.18,0.14
101,7,92,10.0,4.0,22.0,3.0,91.09,0.14
3,1,1,0.0,0.0,1.0,0.0,33.33,0.0
54,4,39,2.0,2.0,19.0,0.0,72.22,0.07
251,20,295,15.0,18.0,94.0,15.0,117.53,0.13
74,5,65,8.0,1.0,21.0,3.0,87.84,0.12
46,7,71,2.0,6.0,19.0,4.0,154.35,0.17
118,16,121,11.0,2.0,54.0,4.0,102.54,0.11
5,1,6,1.0,0.0,2.0,0.0,120.0,0.2
9,2,11,1.0,0.0,3.0,2.0,122.22,0.11
13,2,4,0.0,0.0,4.0,0.0,30.77,0.0
1,1,1,0.0,0.0,1.0,0.0,100.0,0.0
1441,73,1675,188.0,34.0,526.0,87.0,116.24,0.15
26,1,19,1.0,0.0,15.0,0.0,73.08,0.04
20,2,13,0.0,1.0,7.0,0.0,65.0,0.05
1803,88,2385,245.0,117.0,519.0,84.0,132.28,0.2
111,19,101,7.0,2.0,44.0,7.0,90.99,0.08
19,2,18,3.0,0.0,6.0,0.0,94.74,0.16
384,34,446,22.0,19.0,179.0,29.0,116.15,0.11
13,2,13,1.0,0.0,5.0,2.0,100.0,0.08
161,32,166,14.0,3.0,54.0,19.0,103.11,0.11
343,16,430,36.0,26.0,100.0,12.0,125.36,0.18
703,41,836,71.0,33.0,249.0,48.0,118.92,0.15
15,2,24,2.0,2.0,4.0,0.0,160.0,0.27
12,2,14,2.0,0.0,6.0,0.0,116.67,0.17
1476,63,1823,160.0,57.0,622.0,90.0,123.51,0.15
5,2,4,0.0,0.0,1.0,0.0,80.0,0.0
179,11,183,22.0,1.0,75.0,7.0,102.23,0.13
3419,144,4103,478.0,57.0,1320.0,239.0,120.01,0.16
22,4,22,1.0,0.0,14.0,2.0,100.0,0.05
691,29,739,94.0,9.0,228.0,39.0,106.95,0.15
7,3,3,0.0,0.0,1.0,1.0,42.86,0.0
5,2,4,1.0,0.0,0.0,0.0,80.0,0.2
331,23,284,23.0,1.0,136.0,22.0,85.8,0.07
506,34,622,55.0,18.0,207.0,42.0,122.92,0.14
885,65,1376,107.0,90.0,276.0,64.0,155.48,0.22
16,1,15,1.0,0.0,5.0,3.0,93.75,0.06
335,26,422,45.0,11.0,136.0,20.0,125.97,0.17
5,1,2,0.0,0.0,2.0,0.0,40.0,0.0
58,6,66,5.0,1.0,24.0,8.0,113.79,0.1
5,1,1,0.0,0.0,1.0,0.0,20.0,0.0
837,36,886,83.0,31.0,264.0,45.0,105.85,0.14
736,61,1075,72.0,69.0,277.0,39.0,146.06,0.19
412,15,568,60.0,20.0,161.0,21.0,137.86,0.19
74,15,107,3.0,9.0,35.0,3.0,144.59,0.16
632,86,829,79.0,42.0,192.0,34.0,131.17,0.19
12,4,18,3.0,0.0,2.0,2.0,150.0,0.25
14,1,20,2.0,1.0,6.0,0.0,142.86,0.21
26,3,20,0.0,0.0,16.0,2.0,76.92,0.0
4,1,7,1.0,0.0,3.0,0.0,175.0,0.25
62,18,55,4.0,2.0,21.0,3.0,88.71,0.1
2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
952,79,1105,83.0,37.0,397.0,71.0,116.07,0.13
92,6,71,6.0,0.0,31.0,5.0,77.17,0.07
18,2,7,0.0,0.0,7.0,0.0,38.89,0.0
27,7,20,3.0,0.0,6.0,1.0,74.07,0.11
86,13,88,9.0,1.0,33.0,6.0,102.33,0.12
546,33,695,64.0,34.0,181.0,27.0,127.29,0.18
24,3,23,5.0,0.0,3.0,0.0,95.83,0.21
364,28,409,39.0,5.0,142.0,37.0,112.36,0.12
48,6,54,4.0,2.0,16.0,5.0,112.5,0.12
27,5,29,4.0,0.0,11.0,1.0,107.41,0.15
13,4,10,1.0,0.0,6.0,0.0,76.92,0.08
12,2,6,0.0,0.0,6.0,0.0,50.0,0.0
674,64,934,58.0,54.0,267.0,53.0,138.58,0.17
62,11,82,6.0,4.0,23.0,5.0,132.26,0.16
907,43,1291,134.0,52.0,306.0,62.0,142.34,0.21
466,29,604,69.0,19.0,145.0,30.0,129.61,0.19
54,12,55,6.0,1.0,25.0,0.0,101.85,0.13
110,11,106,6.0,5.0,46.0,3.0,96.36,0.1
46,3,42,3.0,1.0,10.0,7.0,91.3,0.09
4,2,3,0.0,0.0,1.0,1.0,75.0,0.0
309,16,327,25.0,8.0,129.0,22.0,105.83,0.11
2254,93,2389,250.0,44.0,872.0,110.0,105.99,0.13
39,10,35,2.0,1.0,17.0,2.0,89.74,0.08
139,8,179,18.0,8.0,47.0,6.0,128.78,0.19
17,3,18,1.0,1.0,6.0,1.0,105.88,0.12
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
292,10,445,48.0,18.0,102.0,18.0,152.4,0.23
25,2,26,1.0,1.0,9.0,2.0,104.0,0.08
32,5,38,4.0,2.0,6.0,2.0,118.75,0.19
1661,73,2011,125.0,79.0,766.0,125.0,121.07,0.12
406,45,527,36.0,23.0,157.0,41.0,129.8,0.15
6,2,8,0.0,1.0,2.0,0.0,133.33,0.17
307,18,413,49.0,11.0,110.0,19.0,134.53,0.2
11,4,8,0.0,0.0,4.0,2.0,72.73,0.0
30,5,36,1.0,2.0,14.0,3.0,120.0,0.1
189,13,166,13.0,6.0,59.0,8.0,87.83,0.1
78,15,124,8.0,9.0,21.0,7.0,158.97,0.22
83,7,69,5.0,2.0,31.0,3.0,83.13,0.08
9,2,12,0.0,1.0,4.0,1.0,133.33,0.11
1964,132,2767,182.0,177.0,703.0,123.0,140.89,0.18
9,1,10,1.0,0.0,4.0,1.0,111.11,0.11
51,7,50,4.0,1.0,19.0,3.0,98.04,0.1
13,4,12,0.0,1.0,4.0,1.0,92.31,0.08
1389,66,1653,192.0,27.0,546.0,78.0,119.01,0.16
2827,159,3571,350.0,99.0,1144.0,199.0,126.32,0.16
635,46,891,86.0,35.0,222.0,53.0,140.31,0.19
7,2,13,0.0,1.0,2.0,1.0,185.71,0.14
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
70,12,116,9.0,8.0,15.0,8.0,165.71,0.24
1117,62,1423,153.0,39.0,402.0,77.0,127.39,0.17
1427,55,1901,164.0,79.0,554.0,103.0,133.22,0.17
868,69,1074,92.0,38.0,363.0,52.0,123.73,0.15
26,5,18,1.0,1.0,6.0,1.0,69.23,0.08
3,1,5,1.0,0.0,1.0,0.0,166.67,0.33
4,3,2,0.0,0.0,2.0,0.0,50.0,0.0
738,35,966,87.0,38.0,276.0,48.0,130.89,0.17
955,40,1278,108.0,43.0,419.0,73.0,133.82,0.16
285,34,317,18.0,14.0,114.0,22.0,111.23,0.11
39,4,36,2.0,1.0,16.0,3.0,92.31,0.08
78,6,128,13.0,8.0,20.0,4.0,164.1,0.27
5,1,3,0.0,0.0,1.0,1.0,60.0,0.0
17,4,12,1.0,0.0,6.0,1.0,70.59,0.06
55,8,44,4.0,0.0,16.0,6.0,80.0,0.07
2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
50,13,36,2.0,1.0,15.0,2.0,72.0,0.06
37,5,34,6.0,1.0,4.0,0.0,91.89,0.19
71,5,81,11.0,0.0,22.0,4.0,114.08,0.15
224,14,261,23.0,10.0,75.0,15.0,116.52,0.15
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0.0,0.0,1.0,0.0,100.0,0.0
63,5,106,16.0,3.0,20.0,2.0,168.25,0.3
878,29,1079,109.0,44.0,269.0,52.0,122.89,0.17
27,3,40,5.0,1.0,8.0,3.0,148.15,0.22
324,31,371,30.0,14.0,123.0,19.0,114.51,0.14
847,54,1017,66.0,46.0,333.0,62.0,120.07,0.13
48,4,70,6.0,5.0,12.0,2.0,145.83,0.23
8,5,4,0.0,0.0,4.0,0.0,50.0,0.0
243,21,244,21.0,6.0,83.0,19.0,100.41,0.11
109,14,113,7.0,1.0,59.0,8.0,103.67,0.07
78,4,73,9.0,0.0,29.0,2.0,93.59,0.12
486,38,514,43.0,10.0,191.0,44.0,105.76,0.11
30,7,27,3.0,0.0,9.0,3.0,90.0,0.1
93,20,126,11.0,5.0,33.0,8.0,135.48,0.17
30,9,20,1.0,0.0,9.0,2.0,66.67,0.03
19,2,11,2.0,0.0,1.0,1.0,57.89,0.11
